city,floorarea,bathrooms,address,latitude,price,bedrooms,zipcode,longitude
Austin,1985,3,3900 Threadgill St UNIT 26,30.291131,535000,3,78723,-97.700591
Austin,1385,3,1931 E 38 1 2 St # 32,30.289296,405000,2,78723,-97.70582
Austin,2442,4,2412 Sorin St,30.2961,695000,3,78723,-97.695
Austin,699,1,1309 E 52nd St # 2,30.307998,209900,2,78723,-97.705207
Austin,,3,3108 E 51st St # P1R91R,30.295785,341990,2,78723,-97.681598
Austin,988,2,6211 Manor Rd APT 125,30.307657,189988,1,78723,-97.675155
Austin,1200,2,2111 Poquito St,30.282942,849000,2,78722,-97.720629
Austin,1500,3,4020 Airport Blvd # 1,30.292134,465000,2,78722,-97.707774
Austin,1003,2,4309 Airport Blvd # A,30.29921,359900,3,78722,-97.70994
Austin,810,1,2112 Rountree Dr,30.284347,320000,2,78722,-97.707539
Austin,2504,4,2805 E 22nd St,30.283736,999999,5,78722,-97.711665
Austin,2810,6,2807 E 22nd St,30.283766,999999,4,78722,-97.711508
Austin,1143,1,3705 Grayson Ln,30.288215,369650,3,78722,-97.708556
Austin,916,1,5310 Downs Dr,30.279599,219999,2,78721,-97.677633
Austin,1050,2,5204 Ledesma Rd,30.27221,275000,4,78721,-97.685019
Austin,1050,1,3602 Grant St,30.277249,299000,2,78721,-97.693827
Austin,1880,2,1602 Greenwood Ave,30.280478,435000,4,78721,-97.697034
AUSTIN,780,1,Gunter St,30.273664,350000,2,78721,-97.69511
Austin,1310,2,1808 Celeste Cir,30.284904,300000,3,78721,-97.680973
Austin,1349,3,5315 Downs Dr,30.279379,309900,4,78721,-97.678401
Austin,5502,5,11109 Conchos Trl,30.443859,1170000,4,78726,-97.821738
Austin,1329,2,4717 Castleman Dr,30.246176,169900,3,78725,-97.583139
Austin,2430,3,4616 Cleto St,30.241949,226850,4,78725,-97.577874
Austin,1264,2,4608 Best Way,30.23758,149000,3,78725,-97.570644
Austin,,2,4618 Halliday Ave # 1YMK5P,30.241949,196990,3,78725,-97.577874
Austin,,2,4618 Halliday Ave # 4KOH2Q,30.241949,210990,4,78725,-97.577874
Austin,1907,2,4605 Halliday Ave,30.241949,211550,3,78725,-97.577874
Austin,725,1,1309 E 52nd St # 1,30.30828,228000,2,78723,-97.70522
AUSTIN,2228,3,3006 Northeast Dr,30.31108,550000,4,78723,-97.674087
Austin,1228,2,3803 Tower View Ct,30.288273,329900,4,78723,-97.705279
Austin,2002,2.5,6703 Dubuque Ln,30.312753,275000,3,78723,-97.67064
Austin,1372,2,4805 Russet Hill Dr,30.288362,330000,4,78723,-97.672635
Austin,1350,2,2202 Palo Pinto Dr,30.286352,257500,3,78723,-97.700827
Austin,2064,2,1905 Rogge Ln,30.306772,412900,3,78723,-97.693255
Austin,1699,2,3402 Robinson Ave,30.291646,475000,3,78722,-97.720654
Austin,1545,3,2505 Givens Ave,30.281328,471900,3,78722,-97.715446
Austin,3149,3,4214 Wilshire Pkwy,30.298064,598000,3,78722,-97.711901
Austin,1419,1,1200 Norwood Rd,30.304725,339000,2,78722,-97.711914
Austin,1669,3,2101 Maple Ave # B,30.282896,539900,3,78722,-97.716399
Austin,1604,3,2101 Maple Ave # A,30.282864,539900,3,78722,-97.716635
Austin,1198,2,1109 Altum St,30.258162,374500,2,78721,-97.683791
Austin,2295,3,11211 Appletree Ln,30.439865,380000,4,78726,-97.825824
Austin,3056,3.5,11102 Twisted Elm Dr # 12,30.400512,532500,4,78726,-97.845842
Austin,4199,4,10529 Canyon Vista Way,30.43671,629900,5,78726,-97.81763
Austin,2075,2,9105 Villa Norte Dr,30.431324,469900,3,78726,-97.843218
Austin,2042,3,15420 Quinley Dr,30.458859,279900,3,78728,-97.686427
Austin,2043,3,2208 Forsam Bnd,30.256291,354900,3,78725,-97.671781
Austin,,2,4618 Halliday Ave # 7THLT8,30.241949,191990,3,78725,-97.577874
Austin,1399,2,15216 Guffey Dr,30.241949,202740,3,78725,-97.577874
Austin,1599,2,4617 Belfield Ln,30.241949,216115,3,78725,-97.577874
Austin,,2.5,4618 Halliday Ave # U3N4P9,30.241949,201990,3,78725,-97.577874
Austin,1356,1,2924 Norwood Hill Rd,30.299882,300000,3,78723,-97.682336
